title	type	year	author	country	seen
Night of the Not So Living Dead GuyÊ(a.k.a.ÊNight of the not so living Dead Guy!)	film	2002	Michael Kessler	germany	no
Resident Evil	film	2002	Paul W.S. Anderson	usa	yes
Ritual (Tales from the Crypt: Ritual)	film	2002	Avi Nesher	israel	no
Biohazardous	film	2001	Michael J. Hein	usa	no
Children of the Living Dead	film	2001	Tor Ramsey	usa	no
Meat Market 2	film	2001	Brian Clement	canada	no
Mulva: Zombie Ass Kicker!	film	2001	Chris Seaver	uk	no
Plaga Zombie: Zona Mutante	film	2001	Pablo Pares, Hernan Saez	argentina	no
Route 666	film	2001	William Wesley	cuba	no
Stacy	film	2001	Naoyuki Tomomatsu	japan	no
Zombie Chronicles	film	2001	Brad Sykes	usa	no
All of the Dead	film	2000	Tony Mines, Tim Drage	NA	no
Junk (Shiryo-gari)	film	2000	Atsushi Muroga	japan	no
Machine Head	film	2000	Michael Patrick, Leonard Murphy	NA	no
Meat Market	film	2000	Brian Clement	canada	no
The Dead Hate the Living!	film	2000	Dave Parker	usa	no
Versus (Vasasu)	film	2000	Ryuhei Kitamura	japan	no
Wild Zero	film	2000	Tetsuro Takeuchi	japan	no
